cnpj,razaoSocial,objetoCompra,anoCompra,valorTotalEstimado,valorTotalHomologado
00394460000141,MINISTERIO DA FAZENDA,"Contratação de serviços de vigilância eletrônica, conforme condições, quantidades e exigências estabelecidas no Aviso de Contratação Direta e Termo de Referência, anexos.",2021,57812.1,44000.0
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Gonadotropina coriônica humana; 5.000 UI; pó para solução injetável.,2021,512.7,
40514168000130,CONSELHO REG DE MEDICINA VETERINARIA DO ESTADO DA BAHIA,Fornecimento de carimbos automáticos.,2022,1980.12,1266.57
33583550000130,CONSELHO FEDERAL DE MEDICINA,"Contratação de serviço depósito self storage, de no mínimo 150m², para armazenagem de bens patrimoniais e demais objetos pertencentes ao Conselho Regional de Medicina do Rio Grande do Sul, com a localização na cidade de Porto Alegre ou grande Porto Alegre, pelo período de 5 (cinco) meses.",2022,5718.33,
00889834000108,FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP,"Contratação por dispensa de licitação de  empresa especializada na prestação de serviço de fornecimento de exemplares de jornais e revistas em versão digital para atender à demanda da CAPES, conforme a periodicidade de sua edição, conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos.",2022,15396.0,15367.0
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,"Esparadrapo impermeável, com dorso de tecido de algodão impermeabilizado em uma das faces, de cor  branca, massa adesiva a base de Óxido de zinco, resistente, com boa aderência, enrolado em carretel plástico, com capa de proteção, medindo 10 cm de largura x 4,5m de comprimento.",2022,41641.5,
00394544000185,MINISTERIO DA SAUDE,"Hidróxido de ferro iii, solução injetável, equivalente a 20 mg/ml de ferro iii, uso endovenoso, na forma de complexo coloidal sacarato.",2022,5745.6,
00394544000185,MINISTERIO DA SAUDE,"Etiqueta adesiva, material: papel couchê, cor: branca, aplicação: impressora térmica, características adicionais: com 1 coluna, altura: 30 mm, largura 1: 55 mm",2022,49020.0,
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Aquisição de tubo de ensaio em vidro com diâmetro de 12 x 75mm.,2022,6800.0,
03353358000196,MINISTERIO DO DESENVOLVIMENTO REGIONAL,"Contratação de empresa especializada na prestação de serviços de chaveiro com fornecimento de todo o material e mão de obra necessários para a execução dos serviços, conforme condições, quantidades e exigências estabelecidas no Aviso de Dispensa Eletrônica nº 01/2022 (SEI nº 3542882) e seus anexos.",2022,0.0,
60984473000100,CONSELHO FEDERAL DE FARMACIA,"Contratação de empresa para fornecimento de tablets destinados ao Conselho Regional de Farmácia do Estado do Maranhão, de acordo com Termo de Referência em anexo.",2022,28210.0,22500.0
00394494010441,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,"Água mineral sem gás, acondicionada em embalagem plástica (garrafão) de 20 (vinte) litros, a ser fornecida em quantidades parceladas, conforme solicitação, a ser realizada durante o período de 1 ano, para atender a demanda da SPRF-AC (frascos não inclusos - mediante troca de vasilhame).",2022,9375.0,8898.74
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Sapatilha Hospitalar,2022,12823.13,
26994558000123,ADVOCACIA GERAL DA UNIAO,"Contratação de serviços continuados, por meio de SEGURADORA especializada em seguro   automotivo, com franquia reduzida, para a frota de veículos automotivos pertencentes à utilizada pela Advocacia Geral da União no estado de Goiás/GO, durante o período de 12 (doze) meses, podendo ser prorrogado por iguais períodos sucessivamente, conforme dispõe o art. 107 da Lei 14.133, de 1º de abril de 2021.",2022,3859.41,
33787094000140,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,"O objeto da presente dispensa é a escolha da proposta mais vantajosa para a contratação por dispensa de licitação de locação de vagas de garagem para os veículos próprios e/ou locados da Unidade Estadual do IBGE em Alagoas, lotados na agência do município de Arapiraca.",2022,2074.0,
33663683000116,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"O objeto da presente dispensa é a escolha da proposta mais vantajosa para a contratação por dispensa de licitação de serviço de manutenção elétrica das instalações da Casa da Ciência da UFRJ, conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos. Agendamento de vistorias: agendar enviando e-mail para pregao@forum.ufrj.br).",2022,7470.0,
40514168000130,CONSELHO REG DE MEDICINA VETERINARIA DO ESTADO DA BAHIA,"Fornecimento de 2.000 (duas mil) pastas arquivo, material papel Kraft 300g, dimensões 27,5 x 33,5cm",2022,9040.0,
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Reparo do aparelho Vídeo Laringoestroboscópio do Serviço de Otorrinolaringologia,2022,5099.0,
00394452000103,COMANDO DO EXERCITO,Aquisição de material de som ,2022,14259.95,11148.0
26474056000171,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,"Contratação de empresa especializada para prestação de serviços de manutenção preventiva, preditiva e corretiva de todos os sistemas de elevadores instalados nas dependências do Centro Empresarial Brasília 50, em Brasília, com fornecimento de toda a mão-de-obra, materiais e equipamentos necessários à execução dos serviços, conforme condições, quantidades e exigências estabelecidas no Aviso de Dispensa Eletrônica nº 02/2022 e seus Anexos.",2022,38716.63,38716.56
32784905000196,CONSELHO REGIONAL DOS TECNICOS INDUSTRIAIS DA BAHIA - CRT-BA,Aquisição de material de copa/cozinha,2022,10450.0,8682.0
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Aquisição de SPRAY (FIXADOR DE CABELOS)- PARA FIXACAO DE LAMINAS: COMPOSTO DE:  ALCOOL ETILICO;  BUTANO;  PROPANO; CICLOMETICONE;  COPOLIMERO DE VA; CROTONATOS; NEODECANOATO DE VINILA;  AMINO METIL;  PROPANOL;  ACRILATOS; COPOLIMEROS; OCTILAMIDA;  AUSENCIA DE CFC;,2022,2793.0,
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Materiais de manutenção hidráulica.,2022,4988.99,3272.32
93592384000160,CAMARA MUNICIPAL DE SAO LUIZ GONZAGA,Prestação de serviços de monitoramento de alarme 24 horas,2021,128.0,130.0
15126437000143,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,Aquisição de fio guia com cobertura hidrofílica - ponta moldável,2021,49717.5,
00394544000185,MINISTERIO DA SAUDE,"Serviço de confecção de crachás e cordão para crachás, incluso o material necessário para realização do serviço e o design gráfico dos itens a serem confeccionados.",2022,842.8,766.0
37115375000700,MINISTERIO DO MEIO AMBIENTE,Contratação de empresa especializada em fornecimento Adobe Creative Cloud para equipes Todos os aplicativos - Licença para 01 Ano e CorelDraw Graphics Suite 2021 - Licença Perpétua.  ,2022,8825.22,
82951229000176,ESTADO DE SANTA CATARINA,"O objeto da presente dispensa eletrônica é a contratação de serviços técnicos-jurídicos de acompanhamento, orientação e assessoramento técnico para produção dos atos legislativos de competência municipal",2022,49800.0,
24134488000108,UNIVERSIDADE FEDERAL DE PERNAMBUCO,Contratação de empresa especializada na prestação de serviços de impressão gráfica.,2022,0.0,6207.9
00119784000171,CONSELHO FEDERAL DE MEDICINA VETERINARIA,Aquisição de gênero alimentícios não perecíveis. ,2022,531.6,516.97
